question_id;collection;hit;rank;chunk_id;tables_count
q001;baseline;False;;;0
q001;con_tablas;False;;;0
q002;baseline;False;;;0
q002;con_tablas;False;;;0
q003;baseline;False;;;0
q003;con_tablas;False;;;0
q004;baseline;False;;;0
q004;con_tablas;False;;;0
q005;baseline;False;;;0
q005;con_tablas;False;;;0
q006;baseline;True;1.0;238077df-0320-5d81-905b-e0be05a15582;0
q006;con_tablas;True;1.0;b966c1f2-bbc2-5c4a-891c-4a7046d614b4;0
q007;baseline;True;3.0;85c4885c-c90e-55dd-a590-ab5f05417bbb;0
q007;con_tablas;True;2.0;e04bdbd7-138a-5658-a2c3-bfaa73594d61;0
q008;baseline;False;;;0
q008;con_tablas;False;;;0
q009;baseline;True;1.0;f81cbfd1-7c28-548b-9bd2-21cabc9bb186;0
q009;con_tablas;True;1.0;8404f947-8ebd-57fe-a7d5-5c9ea4fa454d;1
q010;baseline;True;4.0;7784ad7b-4745-5724-986a-ff448e40131f;0
q010;con_tablas;True;5.0;238077df-0320-5d81-905b-e0be05a15582;0
q011;baseline;True;1.0;cc02fc64-f2df-5938-b396-a52143a638ae;0
q011;con_tablas;True;1.0;afabfa5f-f5e5-530f-801b-0d5ce2f53548;0
q012;baseline;True;1.0;13b65cb8-a1d2-5416-9a15-551980808463;0
q012;con_tablas;True;1.0;13b65cb8-a1d2-5416-9a15-551980808463;0
q013;baseline;False;;;0
q013;con_tablas;False;;;0
q014;baseline;False;;;0
q014;con_tablas;False;;;0
q015;baseline;False;;;0
q015;con_tablas;True;1.0;62405841-dbc7-5e9d-82da-70086f218d2e;1
q016;baseline;True;3.0;0823d1b4-7cd3-5514-b1cb-32236682814a;0
q016;con_tablas;True;4.0;ca834437-9306-5175-a5f8-c41dd7f416f2;0
q017;baseline;False;;;0
q017;con_tablas;False;;;0
q018;baseline;False;;;0
q018;con_tablas;False;;;0
q019;baseline;True;2.0;28ead50d-dedb-5f18-a382-fb73b82c0995;0
q019;con_tablas;True;2.0;db8e254c-251b-5f45-ae74-cdcad73d65fe;0
q020;baseline;True;1.0;ce43bda8-7807-503a-b354-d20ac84caf68;0
q020;con_tablas;True;2.0;b897ecb2-1317-54ef-8c07-eb5239c11e4f;0
q021;baseline;False;;;0
q021;con_tablas;False;;;0
q022;baseline;False;;;0
q022;con_tablas;False;;;0
q023;baseline;True;1.0;4e485370-8345-563e-97f4-7128c913cfd3;0
q023;con_tablas;True;1.0;9ced41ac-6dae-50d0-8a65-60ccc599e1b6;0
q024;baseline;False;;;0
q024;con_tablas;False;;;0
q025;baseline;True;1.0;e32389c3-3a12-5d5d-bd24-5dc8e3d578a7;0
q025;con_tablas;True;1.0;370b3e72-4905-5ce3-8c5c-c07472347605;0
q026;baseline;False;;;0
q026;con_tablas;False;;;0
q027;baseline;False;;;0
q027;con_tablas;False;;;0
q028;baseline;True;4.0;d6111f40-ee46-59c6-a619-34be1b336dd6;0
q028;con_tablas;True;3.0;9dd8804f-513a-583d-8ab1-202520b65d0c;0
q029;baseline;False;;;0
q029;con_tablas;False;;;0
q030;baseline;True;3.0;657c463d-07eb-5b9b-9872-0cc9f9bb5b23;0
q030;con_tablas;True;3.0;154fb5a1-59d5-51d3-82b9-a34034b9a42b;0
q031;baseline;True;1.0;bee044f9-3fe0-545a-b8aa-398c895ec8f1;0
q031;con_tablas;True;1.0;02249f9e-eb07-50d1-8f32-f5e62156c4d0;0
q032;baseline;False;;;0
q032;con_tablas;False;;;0
q033;baseline;False;;;0
q033;con_tablas;False;;;0
q034;baseline;False;;;0
q034;con_tablas;False;;;0
